MAA Soccer League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Table,,,,,,,,,,,,GP,W,D,L,GF,GA,GD,PTS,rank
15-Feb,10:45 PM,1,Joga Bonito FC,Tolba FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,10:45 PM,2,ISNA SC,Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,10:45 PM,3,Team 16,Dream FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,10:45 PM,4,Syrian Eagles,Babylon FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,11:35 PM,1,Brothers FC,Tolba FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,11:35 PM,2,Black Horse FC,Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,11:35 PM,3,Saga FC FC,Dream FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,11:35 PM,4,North Africa FC,Babylon FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,12:20 AM,1,Joga Bonito FC,Ricks FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,12:20 AM,2,ISNA SC,Regala FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,12:20 AM,3,Team 16,A.S. Roma,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,12:20 AM,4,Syrian Eagles,Liverpool,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,1:05 AM,1,Brothers FC,Ricks FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,1:05 AM,2,Black Horse FC,Regala FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,1:05 AM,3,Saga FC FC,A.S. Roma,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,1:05 AM,4,North Africa FC,Liverpool,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,10:45 PM,1,Joga Bonito FC,A.S. Roma,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,10:45 PM,2,ISNA SC,Liverpool,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,10:45 PM,3,Team 16,Ricks FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,10:45 PM,4,Syrian Eagles,Regala FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,11:35 PM,1,Joga Bonito FC,Liverpool,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,11:35 PM,2,ISNA SC,A.S. Roma,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,11:35 PM,3,Team 16,Regala FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,11:35 PM,4,Syrian Eagles,Ricks FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,12:20 AM,1,Babylon FC,Dream FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,12:20 AM,2,Black Horse FC,Brothers FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,12:20 AM,3,Saga FC,Tolba FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,12:20 AM,4,North Africa FC,Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,1:05 AM,1,Brothers FC,Babylon FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,1:05 AM,2,Black Horse FC,Dream FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,1:05 AM,3,Saga FC,Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,1:05 AM,4,North Africa FC,Tolba FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
29-Feb,10:45 PM,1,Brothers FC,Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
29-Feb,10:45 PM,2,Black Horse FC,Tolba FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
29-Feb,10:45 PM,3,Saga FC,Babylon FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
29-Feb,10:45 PM,4,North Africa FC,Dream FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
29-Feb,11:35 PM,1,Joga Bonito FC,Regala FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
29-Feb,11:35 PM,2,ISNA SC,Ricks FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
29-Feb,11:35 PM,3,Team 16,Liverpool,,:,,,,,,,,,,,,,,,,,,,,,,,,
29-Feb,11:35 PM,4,Syrian Eagles,A.S. Roma,,:,,,,,,,,,,,,,,,,,,,,,,,,
