MAA Soccer League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Table,,,,,,,,,,,,GP,W,D,L,GF,GA,GD,PTS,rank
8-Feb,11:35 PM,2,A.S. Roma,Saga,2,:,2,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,11:35 PM,3,Liverpool,Syrian Eagles FC,4,:,4,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,11:35 PM,4,Tolba FC,Team 16,3,:,1,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,12:20 AM,1,Joga Bonito,Ricks FC,1,:,0,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,12:20 AM,2,ISNA SC,Regala,1,:,2,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,12:20 AM,3,Dream,Babylon,3,:,1,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,12:20 AM,4,Brothers,Black Horse,2,:,1,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,1:05 AM,1,ISNA SC,Ricks FC,3,:,0,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,1:05 AM,2,Regala,Babylon,4,:,3,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,1:05 AM,3,Black Horse,Dream,0,:,0,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,1:05 AM,4,Brothers,Joga Bonito,4,:,3,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,10:45 PM,1,Ricks FC,North Africa,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,10:45 PM,2,Regala,Saga,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,10:45 PM,3,Dream,Syrian Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,10:45 PM,4,Babylon,Team 16,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,11:35 PM,1,Regala,North Africa,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,11:35 PM,2,Dream,Saga,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,11:35 PM,3,Babylon,Syrian Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,11:35 PM,4,Ricks FC,Team 16,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,12:20 AM,1,A.S. Roma,Brothers,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,12:20 AM,2,Liverpool,Black Horse,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,12:20 AM,3,Tolba FC,Joga Bonito,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,12:20 AM,4,Eagles FC,ISNA SC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,1:05 AM,1,Liverpool,Brothers,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,1:05 AM,2,Tolba FC,Black Horse,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,1:05 AM,3,Eagles FC,Joga Bonito,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,1:05 AM,4,A.S. Roma,ISNA SC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,10:45 PM,1,Liverpool,ISNA SC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,10:45 PM,2,Eagles FC,Black Horse,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,10:45 PM,3,A.S. Roma,Joga Bonito,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,10:45 PM,4,Tolba FC,Brothers,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,11:35 PM,1,Tolba FC,ISNA SC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,11:35 PM,2,A.S. Roma,Black Horse,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,11:35 PM,3,Liverpool,Joga Bonito,,:,,,,,,,,,,,,,,,,,,,,,,,,
